Run 1, Result case 1006_ULSA_225_3, 18: Case 18
Position      : Element average
Attribute     : D-STRESS
                                     SIGMX
Superelement       Element    Element average value
R200                  27082     -13.8027
R200                  27083     -15.2032
R200                  27084     -14.3763
R200                  27085     -13.2986
R200                  27086     -12.1814
R200                  27087      -6.3017
R200                  27088     -6.41746
R200                  27089     -6.66838
R200                  27090      -6.8754
R200                  27091      4.26263
R200                  27092      4.16755
R200                  27093       3.9424
R200                  27094      3.59175
R200                  27095      16.0568
R200                  27096      8.11023
R200                  27097      5.57656
R200                  27098      8.23587
R200                  27099     -13.9877
R200                  27100     -13.2501
R200                  27101     -12.3019
R200                  27102     -11.4367
R200                  27103     -6.00047
R200                  27104     -6.13737
R200                  27105     -6.40779
R200                  27106     -6.55384
R200                  27107      12.4088
R200                  27108      5.43321
R200                  27109      3.50903
R200                  27110      6.66751
R200                  27111      4.01715
R200                  27112      3.75325
R200                  27113      3.44551
R200                  27114      3.09102
R200                  27115     -12.9252
R200                  27116     -12.3789
R200                  27117     -11.8247
R200                  27118     -11.2266
R200                  27119     -6.01304
R200                  27120     -6.05471
R200                  27121     -6.06274
R200                  27122     -6.07737
R200                  27123      3.77958
R200                  27124      3.43278
R200                  27125      3.05736
R200                  27126      2.66789
R200                  27127      9.69038
R200                  27128      3.43113
R200                  27129      2.08261
R200                  27130      5.65303
R200                  27131      -12.398
R200                  27132     -11.8078
R200                  27133     -11.0628
R200                  27134     -10.3525
R200                  27135     -5.93771
R200                  27136     -6.07005
R200                  27137     -6.32184
R200                  27138     -6.51908
R200                  27139      8.05948
R200                  27140      2.27521
R200                  27141      1.30999
R200                  27142      5.18086
R200                  27143      3.18986
R200                  27144      3.50068
R200                  27145      3.13482
R200                  27146      2.74453
R200                  27147      2.34625
R200                  27148      2.08639
R200                  27149      2.46865
R200                  27150      2.83956
R200                  27151      -11.923
R200                  27152     -11.4153
R200                  27153     -10.7578
R200                  27154     -10.2353
R200                  27155     -6.16093
R200                  27156     -6.26309
R200                  27157      -6.4834
R200                  27158     -6.56602
R200                  27159      7.36935
R200                  27160      1.90583
R200                  27161      1.14469
R200                  27162      5.22105
R200                  27163     -11.4827
R200                  27164     -11.1693
R200                  27165      -10.894
R200                  27166     -10.6137
R200                  27167     -6.66822
R200                  27168     -6.63957
R200                  27169     -6.54707
R200                  27170      -6.4381
R200                  27171      2.87551
R200                  27172      2.55745
R200                  27173      2.21827
R200                  27174       1.8657
R200                  27175      7.45679
R200                  27176      2.19752
R200                  27177      1.62829
R200                  27178      5.86069
R200                  27179      2.55945
R200                  27180      2.28554
R200                  27181      1.99187
R200                  27182      1.68609
R200                  27183     -11.4926
R200                  27184     -11.1581
R200                  27185     -10.6955
R200                  27186     -10.3028
R200                  27187     -7.06788
R200                  27188     -7.10065
R200                  27189     -7.21224
R200                  27190     -7.22936
R200                  27191      8.29637
R200                  27192      3.13979
R200                  27193      2.73598
R200                  27194      7.13128
R200                  27195     -11.4852
R200                  27196     -11.2983
R200                  27197     -10.9796
R200                  27198     -10.7806
R200                  27199     -7.75192
R200                  27200     -7.72321
R200                  27201     -7.76694
R200                  27202     -7.62867
R200                  27203      9.97978
R200                  27204       4.7822
R200                  27205      4.44033
R200                  27206      8.97783
R200                  27207      2.22398
R200                  27208      2.00773
R200                  27209      1.78657
R200                  27210      1.55638
R200                  27211     -11.3392
R200                  27212     -11.5195
R200                  27213      -11.971
R200                  27214     -11.9521
R200                  27215     -8.69556
R200                  27216     -8.47567
R200                  27217     -8.16927
R200                  27218     -7.81289
R200                  27219      1.87864
R200                  27220      1.73756
R200                  27221      1.60241
R200                  27222      1.48553
R200                  27223      12.5855
R200                  27224      7.24912
R200                  27225      6.66192
R200                  27226      11.1248
R200                  27227      1.46431
R200                  27228      1.41909
R200                  27229      1.43043
R200                  27230      1.50805
R200                  27231     -11.1888
R200                  27232     -10.8364
R200                  27233     -13.1815
R200                  27234     -12.4444
R200                  27235      -9.4848
R200                  27236     -9.15488
R200                  27237     -8.97236
R200                  27238     -8.76342
R200                  27239      15.6216
R200                  27240      10.3474
R200                  27241      9.60248
R200                  27242      13.8121
R200                  27243     -11.5557
R200                  27244     -11.1166
R200                  27245     -13.9619
R200                  27246     -13.4828
R200                  27247     -10.3809
R200                  27248     -9.61605
R200                  27249     -9.18903
R200                  27250     -8.93894
R200                  27251     0.980114
R200                  27252      1.05892
R200                  27253      1.29261
R200                  27254      1.66503
R200                  27255      18.8977
R200                  27256      14.1369
R200                  27257      13.3052
R200                  27258      16.5571
R200                  27259     -12.2113
R200                  27260     -11.7872
R200                  27261     -15.1849
R200                  27262     -14.9603
R200                  27263     -11.1488
R200                  27264      -9.4208
R200                  27265     -8.16252
R200                  27266     -7.80066
R200                  27267     0.458671
R200                  27268     0.748746
R200                  27269      1.32454
R200                  27270      2.03902
R200                  27271      21.9936
R200                  27272      19.5156
R200                  27273      18.3314
R200                  27274      17.7748
R200                  27275     -11.7207
R200                  27276     -8.20115
R200                  27277     -5.96786
R200                  27278     -5.59849
R200                  27279     0.010523
R200                  27280      0.50866
R200                  27281      1.51589
R200                  27282      2.89311
R200                  27283       23.578
R200                  27284       23.899
R200                  27285       22.979
R200                  27286      17.7292
R200                  27287     -13.3718
R200                  27288     -12.8027
R200                  27289     -16.1721
R200                  27290     -15.6838
R200                  27291     -11.6451
R200                  27292     -8.24556
R200                  27293     -6.21222
R200                  27294     -6.17017
R200                  27295     0.261201
R200                  27296     0.642407
R200                  27297      1.58596
R200                  27298       3.1726
R200                  27299      24.2975
R200                  27300       24.604
R200                  27301      23.7018
R200                  27302      18.6285
R200                  27303     -14.6321
R200                  27304      -13.959
R200                  27305     -17.4778
R200                  27306     -16.7937
R200                  27307     -11.3177
R200                  27308     -9.65741
R200                  27309     -8.60318
R200                  27310     -8.37725
R200                  27311      1.43085
R200                  27312      1.93979
R200                  27313      2.64803
R200                  27314      3.44083
R200                  27315      25.1211
R200                  27316      22.6581
R200                  27317      21.4201
R200                  27318      20.8661
R200                  27319      2.37658
R200                  27320      3.31289
R200                  27321       3.9426
R200                  27322      3.92289
R200                  27323     -15.9352
R200                  27324       -15.11
R200                  27325     -18.9213
R200                  27326     -18.0105
R200                  27327     -11.2237
R200                  27328     -10.2095
R200                  27329     -9.44647
R200                  27330      -9.0458
R200                  27331      24.6675
R200                  27332      20.3927
R200                  27333      19.6686
R200                  27334      22.3819
R200                  27335      3.02385
R200                  27336      4.05985
R200                  27337       4.7192
R200                  27338      4.41353
R200                  27339     -17.1882
R200                  27340     -16.0277
R200                  27341      -19.608
R200                  27342     -18.4797
R200                  27343     -10.8108
R200                  27344     -10.2018
R200                  27345     -9.68502
R200                  27346     -9.25514
R200                  27347      3.76742
R200                  27348      4.64531
R200                  27349      5.19933
R200                  27350      5.12566
R200                  27351      23.2451
R200                  27352      18.8207
R200                  27353      18.6596
R200                  27354      22.5895
R200                  27355     -18.2442
R200                  27356     -16.7946
R200                  27357     -19.4179
R200                  27358     -18.3658
R200                  27359     -10.6698
R200                  27360     -10.2804
R200                  27361     -9.86825
R200                  27362     -9.32762
R200                  27363      4.10315
R200                  27364      4.51782
R200                  27365      4.98765
R200                  27366      5.90729
R200                  27367      21.2471
R200                  27368      18.2489
R200                  27369      18.0654
R200                  27370       21.584
R200                  27371     -15.8307
R200                  27372     -16.1964
R200                  27373     -16.3297
R200                  27374     -17.2012
R200                  27375     -16.4479
R200                  27376     -12.9248
R200                  27377     -13.4736
R200                  27378     -13.9351
R200                  27379     -14.3943
R200                  27380     -14.7839
R200                  27381     -10.2923
R200                  27382      -10.871
R200                  27383      -11.295
R200                  27384     -11.6455
R200                  27385     -12.2307
R200                  27386     -8.84487
R200                  27387     -8.63303
R200                  27388     -8.36588
R200                  27389     -7.96161
R200                  27390     -5.67014
R200                  27391     -5.49391
R200                  27392     -5.37833
R200                  27393     -5.35254
R200                  27394     -2.61246
R200                  27395     -2.32456
R200                  27396     -2.18451
R200                  27397     -2.41432
R200                  27398     0.343842
R200                  27399     0.641909
R200                  27400      1.12836
R200                  27401      1.62613
R200                  27402      2.50265
R200                  27403      2.86102
R200                  27404      3.64855
R200                  27405      5.61468
R200                  27406      4.58343
R200                  27407      4.35194
R200                  27408      4.34283
R200                  27409      5.09257
R200                  27410      6.60628
R200                  27411      5.83782
R200                  27412      4.56895
R200                  27413      2.80345
R200                  27414      9.28042
R200                  27415       8.3441
R200                  27416      6.54353
R200                  27417      3.59465
R200                  27418       12.968
R200                  27419        11.91
R200                  27420      10.7816
R200                  27421      9.70733
R200                  27422      16.2779
R200                  27423      14.7972
R200                  27424      14.7369
R200                  27425      16.6841
R200                  28478      9.70188
R200                  28479       8.5121
R200                  28480      8.46119
R200                  28481       13.922
R200                  28482      15.1784
R200                  28483      16.2432
R200                  28484       18.187
R200                  28485      22.0579
R200                  28486      24.1855
R200                  28487      21.8311
R200                  28488      28.0068
R200                  28489      31.5967
R200                  28490      22.8782
R200                  28491      28.6898
R200                  28492      39.3923
R200                  28493      4.99433
R200                  28494      6.16265
R200                  28495      8.21693
R200                  28496      38.6184
R200                  28497      21.6536
R200                  28498      18.7389
R200                  28499      7.26478
R200                  28500      7.31887
R200                  28501      6.36434
R200                  28502      11.2528
R200                  28503      14.2104
R200                  28504      13.9226
R200                  28505       8.5563
R200                  28506       7.9442
R200                  28507      6.05737
R200                  28508      2.02813
R200                  28509      7.29395
R200                  28510       10.067
R200                  28511      11.7831
R200                  28512      8.68479
R200                  28513      6.06392
R200                  28514      17.7829
R200                  28515      15.0136
R200                  28516      10.8236
R200                  28517     -5.75949
R200                  28518     -8.97362
R200                  28519     -17.8062
R200                  28520      -17.144
R200                  28521     -7.04692
R200                  28522     -1.12496
R200                  28523      2.71611
R200                  28524      5.09975
R200                  28525      6.16354
R200                  28526      12.2431
R200                  28743     -3.21754
R200                  28744     -2.71466
R200                  28745       -14.59
R200                  28746     -18.6838
R200                  28747     -4.76567
R200                  28748    0.0205101
R200                  28749      3.36387
R200                  28750      6.04262
R200                  28751      8.55695
R200                  28752      8.44203
R200                  28888      2.58292
R200                  28889      2.71481
R200                  28890      2.43798
R200                  28891      1.35678
R200                  28892      0.51592
R200                  28893     0.590897
R200                  28894     0.658284
R200                  28895       0.6663
R200                  28896      1.76793
R200                  28897       1.4593
R200                  28898      1.36777
R200                  28899     0.653849
R200                  28900      1.57475
R200                  28901      1.17827
R200                  28902     0.839893
R200                  28903     0.277517
R200                  28904     -0.39845
R200                  28905    -0.207822
R200                  28906      0.26427
R200                  28907      2.09455
R200                  28908     0.524652
R200                  28909     0.049808
R200                  28910       1.1412
R200                  28911     0.827042
