Run 1, Result case 1006_ULSA_225_3, 18: Case 18
Position      : Element average
Attribute     : D-STRESS
                                     SIGMY
Superelement       Element    Element average value
R200                  25008     -1.38019
R200                  25009     -1.86382
R200                  25010     -2.80136
R200                  25011     -3.57666
R200                  25012     -2.55064
R200                  25013     -1.90536
R200                  25014     -1.32605
R200                  25015     -1.68001
R200                  25016      -1.3794
R200                  25017    -0.919396
R200                  25018    -0.904946
R200                  25019    -0.791267
R200                  25020    -0.362838
R200                  25021    -0.162794
R200                  25022    -0.218199
R200                  25023     0.108605
R200                  25024     0.617119
R200                  25025     0.408295
R200                  25026   -0.0424476
R200                  25027      1.38413
R200                  25028      1.12643
R200                  25029     0.288644
R200                  25030      2.20507
R200                  25031      1.88966
R200                  25032      1.48714
R200                  25033      2.94197
R200                  25034       2.3158
R200                  25035      2.37617
R200                  25036      3.47852
R200                  25037      1.72146
R200                  25038      2.24251
R200                  25039      2.88369
R200                  25040    -0.370004
R200                  25041      0.47747
R200                  25987     -1.21866
R200                  25989     -3.68027
R200                  25990    -0.310438
R200                  25991      2.64952
R200                  25992     -7.72983
R200                  25993     -6.32755
R200                  25994     -4.83096
R200                  25995     -4.67095
R200                  25996     -5.69077
R200                  25997     -7.32155
R200                  25998     -7.48816
R200                  25999     -9.09076
R200                  26000     -13.3734
R200                  26001     -6.18509
R200                  26138      2.12504
R200                  26139       3.5046
R200                  26140      3.98401
R200                  26141      -1.2453
R200                  26142     0.938374
R200                  26143      2.56448
R200                  26144      1.91168
R200                  26145      -1.3414
R200                  26146    0.0769707
R200                  26147      1.76181
R200                  26148       1.3894
R200                  26149     -1.59573
R200                  26150    0.0448297
R200                  26151      1.68035
R200                  26152     -1.64388
R200                  26153   -0.0587219
R200                  26154       1.5785
R200                  26155     -1.53704
R200                  26156    -0.107987
R200                  26157      1.41117
R200                  26158     -1.51982
R200                  26159    -0.115788
R200                  26160       1.3779
R200                  26161     -1.63025
R200                  26162    -0.107682
R200                  26163      1.48935
R200                  26164     -1.58813
R200                  26165   -0.0965141
R200                  26166      1.45585
R200                  26167     -1.41069
R200                  26168   -0.0875105
R200                  26169      1.28805
R200                  26170     -1.50228
R200                  26171   -0.0775284
R200                  26172      1.38693
R200                  26173     -1.44767
R200                  26174   -0.0703888
R200                  26175      1.34193
R200                  26176     -1.26005
R200                  26177    -0.067111
R200                  26178      1.16204
R200                  26179     -1.34603
R200                  26180   -0.0639895
R200                  26181      1.25083
R200                  26182     -1.28364
R200                  26183   -0.0612572
R200                  26184      1.19417
R200                  26185      -1.0833
R200                  26186   -0.0284371
R200                  26187      1.01623
R200                  26188     -1.12002
R200                  26189    0.0650011
R200                  26190      1.21498
R200                  26191     -1.05494
R200                  26192    0.0149322
R200                  26193      1.11013
R200                  26194     -1.27848
R200                  26195     -1.42525
R200                  26196     0.644898
R200                  26197     -1.15417
R200                  26198     -12.6842
R200                  26199     -11.1752
R200                  26200     -7.54603
R200                  26201     0.281825
R200                  26202      -7.5757
R200                  26203     -2.93446
R200                  26204     -3.42048
R200                  26205     -1.16111
R200                  26206     -1.39407
R200                  26207    -0.274047
R200                  26208      1.03833
R200                  26209    -0.427142
R200                  26210     0.293148
R200                  26211     0.786353
R200                  26212     0.869307
R200                  26213      2.18226
R200                  26214      2.01427
R200                  26215      1.25456
R200                  26216      1.42177
R200                  26217      4.37476
R200                  26218      3.14888
R200                  26219      2.21775
R200                  26529      6.33832
R200                  26530      6.04064
R200                  26531      5.55411
R200                  26533      3.90569
R200                  26534    -0.590795
R200                  26535      -1.4814
R200                  26536    -0.878463
R200                  26537      -1.3017
R200                  26538     -3.85926
R200                  26540     -9.18903
R200                  26541     -3.69944
R200                  26542     0.990864
R200                  26543      -8.5458
R200                  26544     -7.30455
R200                  26545     -6.09961
R200                  26546     -6.48081
R200                  26547     -8.05869
R200                  26548     -10.0944
R200                  26549     -10.5234
R200                  26550     -11.8396
R200                  26551     -15.0692
R200                  26552     -7.40728
R200                  26704     -8.35144
R200                  26705     -5.04287
R200                  26706     -2.65249
R200                  26707   -0.0850085
R200                  26708      1.70736
R200                  26709     -7.83486
R200                  26710     -6.17195
R200                  26711     -3.87477
R200                  26712     -1.48342
R200                  26713      1.19099
R200                  26714      -8.0732
R200                  26715     -7.17776
R200                  26716     -5.60791
R200                  26717     -2.72578
R200                  26718     0.570292
R200                  26719     -10.6352
R200                  26720     -13.0405
R200                  26721     -9.00045
R200                  26722     -5.21505
R200                  26723     -1.60569
R200                  26790     -2.98311
R200                  26791      -6.6953
R200                  26792     -8.17871
R200                  26793     -9.49882
R200                  26794     -11.4871
R200                  26795     -12.5732
R200                  26796      -13.029
R200                  26797     -12.0445
R200                  26798     -9.23239
R200                  26799     -3.89644
R200                  26968    -0.918524
R200                  26969   -0.0480012
R200                  26970    0.0619819
R200                  26971     -1.48779
R200                  26972   -0.0838324
R200                  26973     -1.22655
R200                  26974     -0.42596
R200                  26975    -0.304091
R200                  26976    -0.697267
R200                  26977     -2.20159
R200                  26978      -0.8724
R200                  26979    -0.940634
R200                  26980     -1.12942
R200                  26981     -1.52122
R200                  26982     -2.02904
R200                  26983     -1.02773
R200                  26984     -1.27645
R200                  26985     -1.34606
R200                  26986      -1.4608
R200                  26987     -1.89018
R200                  26988     -1.30454
R200                  26989    -0.949553
R200                  26990    -0.928469
R200                  26991     -2.81273
R200                  26992     -1.31733
R200                  26993    -0.103552
R200                  26994   -0.0661682
R200                  26995     -4.07299
